length,format,trial,covered,checklist_total,coverage_rate,faithful_extras,hallucinations,hallucination_rate,total_signal
100,html,1,69,69,1.0,1,14,0.16666666666666666,70
100,html,2,69,69,1.0,0,27,0.28125,69
100,html,3,69,69,1.0,1,19,0.21348314606741572,70
100,html,4,69,69,1.0,0,14,0.1686746987951807,69
100,html,5,69,69,1.0,0,38,0.35514018691588783,69
100,md,1,69,69,1.0,3,0,0.0,72
100,md,2,69,69,1.0,0,0,0.0,69
100,md,3,69,69,1.0,2,0,0.0,71
100,md,4,69,69,1.0,3,0,0.0,72
100,md,5,69,69,1.0,0,0,0.0,69
250,html,1,160,160,1.0,0,2,0.012345679012345678,160
250,html,2,160,160,1.0,1,7,0.041666666666666664,161
250,html,3,160,160,1.0,0,2,0.012345679012345678,160
250,html,4,160,160,1.0,2,5,0.029940119760479042,162
250,html,5,160,160,1.0,5,4,0.023668639053254437,165
250,md,1,160,160,1.0,0,0,0.0,160
250,md,2,160,160,1.0,1,0,0.0,161
250,md,3,160,160,1.0,0,0,0.0,160
250,md,4,160,160,1.0,0,0,0.0,160
250,md,5,160,160,1.0,0,0,0.0,160
500,html,1,303,303,1.0,2,6,0.01929260450160772,305
500,html,2,303,303,1.0,5,0,0.0,308
500,html,3,303,303,1.0,1,6,0.01935483870967742,304
500,html,4,303,303,1.0,1,4,0.012987012987012988,304
500,html,5,303,303,1.0,2,0,0.0,305
500,md,1,302,303,0.9966996699669967,2,0,0.0,304
500,md,2,303,303,1.0,0,0,0.0,303
500,md,3,303,303,1.0,1,1,0.003278688524590164,304
500,md,4,303,303,1.0,2,1,0.0032679738562091504,305
500,md,5,303,303,1.0,0,0,0.0,303
50,html,1,41,41,1.0,4,17,0.27419354838709675,45
50,html,2,41,41,1.0,2,18,0.29508196721311475,43
50,html,3,41,41,1.0,1,25,0.373134328358209,42
50,html,4,41,41,1.0,1,22,0.34375,42
50,html,5,41,41,1.0,0,26,0.3880597014925373,41
50,md,1,41,41,1.0,3,0,0.0,44
50,md,2,41,41,1.0,3,1,0.022222222222222223,44
50,md,3,41,41,1.0,1,0,0.0,42
50,md,4,41,41,1.0,3,0,0.0,44
50,md,5,41,41,1.0,1,1,0.023255813953488372,42
